user-count, latency
500, 90
500, 91
500, 91
500, 93
500, 97
500, 97
500, 98
500, 99
500, 99
500, 98
500, 98
500, 98
500, 333
500, 333
500, 365
500, 391
500, 334
500, 365
500, 391
500, 335
500, 366
500, 392
500, 335
500, 392
500, 393
500, 336
500, 393
500, 393
500, 336
500, 368
500, 394
500, 337
500, 368
500, 394
500, 338
500, 369
500, 396
500, 338
500, 369
500, 396
500, 339
500, 370
500, 397
500, 340
500, 371
500, 398
500, 340
500, 372
500, 399
500, 341
500, 372
500, 404
500, 399
500, 181
500, 913
500, 893
500, 913
500, 867
500, 894
500, 914
500, 839
500, 867
500, 894
500, 914
500, 840
500, 868
500, 760
500, 895
500, 787
500, 915
500, 808
500, 840
500, 731
500, 868
500, 772
500, 901
500, 792
500, 916
500, 916
500, 916
500, 915
500, 915
500, 915
500, 915
500, 915
500, 896
500, 896
500, 896
500, 896
500, 896
500, 896
500, 896
500, 896
500, 896
500, 869
500, 869
500, 868
500, 868
500, 868
500, 868
500, 868
500, 868
500, 868
500, 841
500, 841
500, 841
500, 841
500, 841
500, 841
500, 841
500, 841
500, 841
500, 841
500, 839
500, 809
500, 809
500, 809
500, 809
500, 809
500, 809
500, 809
500, 809
500, 808
500, 808
500, 809
500, 809
500, 789
500, 789
500, 789
500, 789
500, 789
500, 789
500, 789
500, 788
500, 788
500, 788
500, 788
500, 788
500, 788
500, 762
500, 762
500, 762
500, 762
500, 762
500, 762
500, 762
500, 762
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 731
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 699
500, 697
500, 697
500, 682
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 680
500, 681
500, 681
500, 681
500, 681
500, 681
500, 681
500, 681
500, 681
500, 666
500, 666
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 654
500, 653
500, 653
500, 593
500, 593
500, 463
500, 463
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 681
500, 681
500, 681
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 622
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 622
500, 622
500, 622
500, 622
500, 483
500, 483
500, 375
500, 375
500, 263
500, 263
500, 682
500, 148
500, 148
500, 148
500, 148
500, 148
500, 148
500, 148
500, 148
500, 148
500, 146
500, 146
500, 146
500, 146
500, 146
500, 146
500, 121
500, 121
500, 120
500, 120
500, 120
500, 121
500, 121
500, 121
500, 121
500, 121
500, 121
500, 121
500, 121
500, 121
500, 121
500, 110
500, 102
500, 102
500, 102
500, 102
500, 70
500, 70
500, 70
500, 70
500, 70
500, 70
500, 70
500, 70
500, 70
500, 70
500, 70
500, 69
500, 68
500, 68
500, 68
500, 68
500, 235
500, 40
500, 40
500, 40
500, 41
500, 41
500, 41
500, 41
500, 41
500, 41
500, 41
500, 41
500, 41
500, 24
500, 21
500, 21
500, 21
500, 21
500, 21
500, 21
500, 21
500, 21
500, 21
500, 21
500, 21
500, 20
500, 20
500, 19
500, 19
500, 19
500, 19
500, 18
500, 995
500, 995
500, 995
500, 996
500, 996
500, 963
500, 963
500, 963
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 962
500, 958
500, 934
500, 934
500, 934
500, 934
500, 934
500, 934
500, 934
500, 934
500, 934
500, 935
500, 934
500, 934
500, 917
500, 152
500, 152
500, 152
500, 152
500, 152
500, 152
500, 152
500, 152
500, 152
500, 150
500, 150
500, 150
500, 150
500, 150
500, 150
500, 125
500, 125
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 124
500, 113
500, 113
500, 105
500, 105
500, 105
500, 105
500, 105
500, 105
500, 105
500, 105
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 74
500, 73
500, 73
500, 72
500, 72
500, 72
500, 72
500, 72
500, 72
500, 72
500, 72
500, 239
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 44
500, 27
500, 27
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 24
500, 25
500, 25
500, 25
500, 25
500, 24
500, 24
500, 24
500, 24
500, 23
500, 23
500, 23
500, 23
500, 23
500, 23
500, 23
500, 23
500, 22
500, 22
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 999
500, 966
500, 966
500, 966
500, 966
500, 966
500, 966
500, 966
500, 966
500, 966
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 965
500, 961
500, 961
500, 961
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 938
500, 938
500, 938
500, 938
500, 938
500, 938
500, 938
500, 938
500, 938
500, 937
500, 937
500, 937
500, 937
500, 937
500, 937
500, 923
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 917
500, 916
500, 916
500, 916
500, 917
500, 917
500, 884
500, 884
500, 884
500, 884
500, 884
500, 861
500, 860
500, 860
500, 860
500, 860
500, 860
500, 860
500, 862
500, 862
500, 862
500, 862
500, 862
500, 862
500, 862
500, 862
500, 861
500, 861
500, 834
500, 834
500, 834
500, 834
500, 834
500, 834
500, 832
500, 832
500, 831
500, 831
500, 819
500, 818
500, 819
500, 815
500, 815
500, 815
500, 815
500, 815
500, 815
500, 815
500, 815
500, 4
500, 815
500, 815
500, 815
500, 815
500, 814
500, 815
500, 928
500, 928
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 922
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 921
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 888
500, 889
500, 889
500, 889
500, 889
500, 866
500, 866
500, 866
500, 866
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 865
500, 864
500, 864
500, 864
500, 864
500, 864
500, 864
500, 864
500, 864
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 838
500, 836
500, 836
500, 836
500, 836
500, 836
500, 836
500, 836
500, 836
500, 836
500, 836
500, 835
500, 835
500, 835
500, 835
500, 835
500, 835
500, 835
500, 835
500, 835
500, 835
500, 823
500, 823
500, 823
500, 823
500, 823
500, 822
500, 822
500, 822
500, 822
500, 822
500, 822
500, 822
500, 822
500, 822
500, 822
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 7
500, 7
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 819
500, 818
500, 818
500, 818
500, 818
500, 818
500, 818
500, 821
500, 821
500, 821
500, 821
500, 821
500, 793
500, 792
500, 792
500, 792
500, 792
500, 751
500, 750
500, 750
500, 750
500, 750
500, 750
500, 750
500, 750
500, 732
500, 733
500, 733
500, 733
500, 733
500, 733
500, 733
500, 732
500, 732
500, 732
500, 732
500, 732
500, 732
500, 732
500, 731
500, 731
500, 731
500, 718
500, 716
500, 716
500, 716
500, 716
500, 717
500, 716
500, 716
500, 716
500, 716
500, 716
500, 716
500, 688
500, 688
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 823
500, 795
500, 795
500, 795
500, 795
500, 795
500, 795
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 794
500, 795
500, 795
500, 795
500, 795
500, 795
500, 795
500, 754
500, 754
500, 754
500, 754
500, 754
500, 754
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 753
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 735
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 734
500, 721
500, 721
500, 721
500, 721
500, 721
500, 721
500, 721
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 720
500, 720
500, 720
500, 720
500, 720
500, 720
500, 720
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 719
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 691
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 694
500, 663
500, 663
500, 663
500, 663
500, 663
500, 663
500, 633
500, 633
500, 633
500, 633
500, 633
500, 633
500, 633
500, 633
500, 634
500, 634
500, 634
500, 634
500, 634
500, 633
500, 632
500, 614
500, 614
500, 614
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 698
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 697
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 666
500, 667
500, 667
500, 667
500, 667
500, 667
500, 667
500, 667
500, 667
500, 667
500, 667
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 638
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 637
500, 636
500, 636
500, 636
500, 636
500, 636
500, 636
500, 636
500, 636
500, 636
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 618
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 621
500, 620
500, 605
500, 601
500, 601
500, 602
500, 602
500, 602
500, 602
500, 602
500, 602
500, 602
500, 602
500, 602
500, 602
500, 601
500, 602
500, 601
500, 579
500, 576
500, 576
500, 576
500, 576
500, 576
500, 576
500, 576
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 623
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 624
500, 609
500, 609
500, 609
500, 609
500, 609
500, 609
500, 609
500, 609
500, 609
500, 609
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 606
500, 606
500, 606
500, 606
500, 606
500, 606
500, 606
500, 606
500, 606
500, 606
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 605
500, 604
500, 604
500, 604
500, 604
500, 604
500, 604
500, 604
500, 604
500, 604
500, 604
500, 582
500, 582
500, 582
500, 582
500, 582
500, 582
500, 582
500, 582
500, 582
500, 582
500, 582
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 579
500, 582
500, 582
500, 583
500, 847
500, 757
500, 712
500, 650
500, 630
500, 608
500, 581
500, 553
500, 553
500, 553
500, 553
500, 553
500, 552
500, 552
500, 552
500, 553
500, 553
500, 553
500, 553
500, 553
500, 553
500, 522
500, 522
500, 522
500, 522
500, 522
500, 522
500, 521
500, 522
500, 520
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 585
500, 849
500, 849
500, 849
500, 849
500, 849
500, 759
500, 759
500, 759
500, 759
500, 714
500, 714
500, 714
500, 652
500, 652
500, 632
500, 583
500, 583
500, 583
500, 583
500, 583
500, 583
500, 583
500, 583
500, 583
500, 583
500, 583
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 555
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 556
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 525
500, 524
500, 524
